face_id,src,dst,face_length,normal_x,normal_y,center_distance,elevation_src,elevation_dst,elevation_diff,bed_slope,manning_src,manning_dst,manning_mean,manning_diff,ip_src,ip_dst,ip_mean,ip_diff,landcover_ip_src,landcover_ip_dst,area_src,area_dst,area_mean,area_ratio,zone_src,zone_dst,same_zone,zone3_touching,zone3_internal,surface_gradient_rms,face_target_mean,face_target_std,face_target_rms
27204,9641,9724,92.89551544,-0.8645411134,-0.5025621653,100,-2,1.724193811,3.724193811,0.03724193811,0.045,0.045,0.045,0,10,10,10,0,10,10,9154.386719,8962.339844,9058.363281,1.021428207,0,0,1,0,0,0.00714491921,3569.339111,98386.0625,98450.78906
27205,9724,9723,87.70977783,-0.3679602742,0.9298415184,104.7799623,1.724193811,-2,-3.724193811,-0.03554299628,0.045,0.045,0.045,0,10,10,10,0,10,10,8962.339844,7236.155029,8099.247437,1.238550004,0,1,0,0,0,0.01266750741,-297848.4062,119691.25,320997.9375
27206,9724,10950,32.65217972,-0.9294555187,0.3689342737,136.7811305,1.724193811,22.13844681,20.414253,0.1492475821,0.045,0.045,0.045,0,10,10,10,0,10,10,8962.339844,9543.032959,9252.686401,1.064792579,0,0,1,0,0,0.1306568895,-18849.10547,12984.39355,22888.49609
27207,10956,10955,90.92893982,-0.3481865227,0.9374252558,79.92031851,31.0784111,28.09446335,-2.983947754,-0.03733653481,0.045,0.045,0.045,0,10,10,10,0,10,10,6782.393066,7389.362549,7085.877808,1.089491935,1,1,1,0,0,0.01059585261,-23215.02344,15741.07324,28048.50586
27208,10963,10557,69.32894135,-0.09950371832,0.9950371981,89.94553217,5.486795425,0.870666623,-4.616128802,-0.05132137963,0.045,0.045,0.045,0,10,10,10,0,10,10,9743.726807,6999.928955,8371.827881,1.3919751,0,1,0,0,0,0.01421755479,-46180.07422,26326.24609,53157.03906
27209,10963,10962,66.31912994,-0.8751373291,0.4838745892,109.9780875,5.486795425,16.28753662,10.8007412,0.0982081198,0.045,0.045,0.045,0,10,10,10,0,10,10,9743.726807,9487.262939,9615.494873,1.02703244,0,0,1,0,0,0.03802704363,-15600.92676,10537.74512,18826.39062
27210,9737,9738,68.11872864,0.6456487179,-0.7636345625,87.61606186,-2,-2,0,0,0.045,0.045,0.045,0,10,10,10,0,10,10,7885.641113,6174.647461,7030.144287,1.277099812,1,1,1,0,0,5.388293792e-06,323668.0625,134952.2969,350675.2812
27211,9737,10562,49.24056244,0.9607528448,-0.2774058878,78.07727447,-2,-2,0,0,0.045,0.03,0.0375,-0.015,10,0,5,-10,10,0,7885.641113,5352.677246,6619.15918,1.473214384,1,1,1,0,0,5.532688467e-06,329209.25,105936.5703,345834.1875
27212,9737,10561,75.08875275,0.2201963216,0.9754555821,58.62620567,-2,-2,0,0,0.045,0.045,0.045,0,10,10,10,0,10,10,7885.641113,3910.427246,5898.03418,2.016567658,1,2,0,0,0,1.527869299e-05,-357024.75,112308.8906,374272.5938
27213,9737,9736,81.32891083,-0.8358166218,0.5490087271,77.08727002,-2,-2,0,0,0.045,0.045,0.045,0,10,10,10,0,10,10,7885.641113,6265.913086,7075.7771,1.258498323,1,1,1,0,0,0.0002342606697,-298796.4375,126551.0312,324491.0938
